1,0,0.00,-293.94,293.94,0.00,0,0,1,0
2,250,26.66,-306.36,279.70,705.46,0,0,1,0
3,500,53.16,-316.89,263.73,1406.57,0,0,1,0
4,750,79.33,-325.46,246.13,2098.97,0,0,1,0
5,1001,105.01,-332.02,227.01,2778.41,0,0,1,0
6,1251,130.04,-336.53,206.49,3440.67,0,0,1,0
7,1501,154.27,-338.96,184.69,4081.67,0,0,1,0
8,1752,177.54,-339.29,161.75,4697.44,0,0,1,0
9,2002,199.72,-337.52,137.81,5284.17,0,0,1,0
10,2252,220.66,-333.67,113.01,5838.25,0,0,1,0
11,2503,240.24,-327.76,87.52,6356.24,0,0,1,0
12,2753,258.33,-319.82,61.49,6834.94,0,0,1,0
13,3003,274.82,-309.90,35.08,7271.40,0,0,1,0
14,3254,289.62,-298.07,8.45,7662.92,0,0,1,0
15,3504,302.63,-284.40,-18.23,8007.07,0,0,1,0
16,3754,313.77,-268.97,-44.80,8301.73,0,0,1,0
17,4005,322.96,-251.87,-71.09,8545.09,0,0,1,0
18,4255,330.17,-233.22,-96.94,8735.62,0,0,1,0
19,4505,335.33,-213.13,-122.19,8872.17,0,0,1,0
20,4755,338.41,-191.72,-146.69,8953.87,0,0,1,0
21,5006,339.41,-169.13,-170.28,8980.24,0,0,1,0
22,5256,338.31,-145.49,-192.82,8951.10,0,0,1,0
23,5506,335.12,-120.95,-214.17,8866.64,0,0,1,0
24,5757,329.85,-95.66,-234.19,8727.37,0,0,1,0
25,6007,322.55,-69.78,-252.77,8534.16,0,0,1,0
26,6257,313.25,-43.47,-269.78,8288.20,0,0,1,0
27,6508,302.02,-16.90,-285.13,7991.02,0,0,1,0
28,6758,288.92,9.79,-298.71,7644.45,0,0,1,0
29,7008,274.04,36.41,-310.45,7250.62,0,0,1,0
30,7259,257.46,62.80,-320.26,6811.99,0,0,1,0
31,7509,239.29,88.81,-328.10,6331.25,0,0,1,0
32,7759,219.64,114.27,-333.91,5811.37,0,0,1,0
33,8010,198.64,139.03,-337.66,5255.58,0,0,1,0
34,8260,176.40,162.92,-339.32,4667.31,0,0,1,0
35,8510,153.08,185.81,-338.88,4050.19,0,0,1,0
36,8760,128.81,207.55,-336.35,3408.03,0,0,1,0
37,9011,103.74,228.00,-331.74,2744.81,0,0,1,0
38,9261,78.03,247.05,-325.08,2064.63,0,0,1,0
39,9511,51.84,264.57,-316.41,1371.68,0,0,1,0
40,9762,25.33,280.45,-305.79,670.26,0,0,1,0
41,10012,-1.33,294.60,-293.27,-35.31,0,0,1,0
42,10262,-27.99,306.93,-278.94,-740.66,0,0,1,0
43,10513,-54.48,317.37,-262.89,-1441.43,0,0,1,0
44,10763,-80.63,325.84,-245.21,-2133.29,0,0,1,0
45,11013,-106.28,332.30,-226.02,-2811.97,0,0,1,0
46,11264,-131.27,336.70,-205.43,-3473.26,0,0,1,0
47,11514,-155.46,339.02,-183.57,-4113.09,0,0,1,0
48,11764,-178.68,339.25,-160.57,-4727.50,0,0,1,0
49,12015,-200.79,337.38,-136.59,-5312.68,0,0,1,0
50,12265,-221.67,333.43,-111.76,-5865.03,0,0,1,0
51,12515,-241.18,327.41,-86.23,-6381.13,0,0,1,0
52,12765,-259.19,319.37,-60.18,-6857.79,0,0,1,0
53,13016,-275.61,309.36,-33.75,-7292.07,0,0,1,0
54,13266,-290.32,297.43,-7.12,-7681.27,0,0,1,0
55,13516,-303.23,283.67,19.56,-8022.99,0,0,1,0
56,13767,-314.27,268.15,46.12,-8315.13,0,0,1,0
57,14017,-323.37,250.98,72.39,-8555.88,0,0,1,0
58,14267,-330.47,232.25,98.22,-8743.74,0,0,1,0
